"year","sex","agegrp","pop"
2017,"Persons",10,336960
2017,"Persons",11,312006
2017,"Persons",12,303406
2017,"Persons",13,265351
2017,"Persons",14,242515
2017,"Persons",15,194431
2017,"Persons",16,131608
2017,"Persons",17,85879
2017,"Persons",18,86602
2018,"Persons",1,314666
2018,"Persons",2,336391
2018,"Persons",3,326183
2018,"Persons",4,312028
2018,"Persons",5,342319
2018,"Persons",6,359028
2018,"Persons",7,350626
2018,"Persons",8,334565
2018,"Persons",9,322190
2018,"Persons",10,344620
2018,"Persons",11,312033
2018,"Persons",12,310285
2018,"Persons",13,272038
2018,"Persons",14,246296
2018,"Persons",15,207784
2018,"Persons",16,137759
2018,"Persons",17,89681
2018,"Persons",18,88131
2019,"Persons",1,312158
2019,"Persons",2,337816
2019,"Persons",3,336737
2019,"Persons",4,314552
2019,"Persons",5,343123
2019,"Persons",6,363656
2019,"Persons",7,354873
2019,"Persons",8,345425
2019,"Persons",9,321889
2019,"Persons",10,348343
2019,"Persons",11,314543
2019,"Persons",12,316321
2019,"Persons",13,280009
